Product Name,Category,Unit Price (MUR),Quantity,Discount %,Sale Amount (MUR),Date of Sale,Time of Sale,Channel,Payment Method,Store Region,Customer Age,Customer ID,Transaction ID
Simple Option,Toys,348.02,3,0.05,991.85,2025-03-18,13:30:00,In-Store,Cash,South,35,CUST-75814,TX-62007618
Every System,Clothing,3772.02,2,0.0,8298.44,2024-12-26,13:29:00,In-Store,Cash,North,28,CUST-21626,TX-46997761
Keep Power,Home & Kitchen,5909.24,4,0.2,18909.56,2025-01-26,16:30:00,In-Store,Card,Central,43,CUST-89773,TX-61541508
Water Reflect,Toys,2419.38,3,0.0,7258.14,2025-08-12,16:26:00,Online,Card,West,35,CUST-94501,TX-29972867
Short Second,Beauty,1666.31,2,0.15,2832.72,2024-10-07,16:55:00,In-Store,Cash,North,27,CUST-65836,TX-74032594
Loss Today,Clothing,922.0,3,0.1,2489.41,2025-07-23,11:18:00,In-Store,Card,Central,33,CUST-61224,TX-79039125
May Event,Groceries,270.58,4,0.05,1028.21,2025-08-06,12:12:00,Online,Cash,West,48,CUST-36266,TX-21631071
But Produce,Electronics,14198.65,3,0.05,40466.15,2025-06-23,15:06:00,In-Store,Cash,West,30,CUST-75961,TX-58739790
Simply He,Electronics,6180.12,1,0.0,6180.12,2025-05-03,12:09:00,In-Store,Card,East,22,CUST-90477,TX-93577508
Happy Enjoy,Groceries,414.63,2,0.0,829.26,2025-04-11,15:28:00,In-Store,Cash,Central,39,CUST-55337,TX-96434725
Happy Find,Electronics,18549.23,1,0.05,17621.77,2024-09-05,18:53:00,In-Store,Card,North,39,CUST-66993,TX-62983230
Stuff Avoid,Groceries,445.21,4,0.05,1691.78,2025-05-13,11:56:00,In-Store,Cash,Central,34,CUST-89748,TX-40586690
Draw Decision,Groceries,389.37,3,0.15,992.89,2025-06-03,13:58:00,In-Store,Mobile Wallet,North,17,CUST-83255,TX-32017739
Else Peace,Beauty,4000.0,1,0.1,3600.0,2025-01-05,11:49:00,Online,Mobile Wallet,West,37,CUST-75157,TX-87156451
Level Right,Toys,1960.98,4,0.05,7451.74,2024-09-01,15:39:00,In-Store,Cash,North,23,CUST-91668,TX-22989551
Could Sell,Electronics,5694.32,4,0.0,22777.26,2025-05-20,16:10:00,In-Store,Cash,Central,26,CUST-37128,TX-31942239
Least View,Toys,2537.28,2,0.0,5074.55,2025-08-07,10:29:00,Online,Card,East,33,CUST-30245,TX-84966455
Play Culture,Groceries,416.41,1,0.0,416.41,2025-03-24,19:47:00,In-Store,Card,Central,40,CUST-17704,TX-69913210
Phone None,Sports,3065.65,5,0.0,15328.26,2025-08-18,13:03:00,Online,Card,Central,47,CUST-78370,TX-16058646
Drive Position,Sports,5389.67,4,0.0,21558.67,2025-01-08,11:23:00,Online,Cash,North,44,CUST-90384,TX-14751123
Right Box,Home & Kitchen,6456.19,1,0.15,5487.76,2024-12-23,13:36:00,Online,Mobile Wallet,North,31,CUST-98701,TX-51591814
Price May,Clothing,2971.66,2,0.05,5646.15,2025-05-15,14:48:00,Online,Card,South,27,CUST-27023,TX-77071437
Against Be,Stationery,408.08,6,0.0,2448.5,2024-10-25,17:44:00,In-Store,Card,West,41,CUST-40257,TX-66881813
Relationship Be,Groceries,651.5,1,0.0,651.5,2025-02-11,15:50:00,In-Store,Cash,Central,29,CUST-91563,TX-10611807
Or Development,Toys,774.84,2,0.0,1549.68,2025-01-18,14:41:00,In-Store,Cash,North,36,CUST-23150,TX-26920129
Edge Month,Electronics,20774.27,3,0.15,60920.54,2024-11-09,08:02:00,In-Store,Card,North,41,CUST-79800,TX-81973257
Small Wish,Electronics,25000.0,1,0.1,22500.0,2025-05-07,20:56:00,In-Store,Card,North,25,CUST-33632,TX-18325108
Section Cell,Groceries,615.31,1,0.05,584.55,2025-08-18,11:27:00,Online,Mobile Wallet,West,47,CUST-69331,TX-98043817
Senior Sign,Toys,1168.24,3,0.05,3329.49,2025-07-23,16:47:00,In-Store,Card,West,48,CUST-42170,TX-65561971
Expert Concern,Electronics,18342.53,2,0.0,36685.07,2025-04-16,18:31:00,Online,Card,North,18,CUST-20404,TX-36600192
Include Rest,Beauty,1746.31,5,0.1,7858.4,2024-10-05,15:01:00,Online,Card,North,51,CUST-14404,TX-22004534
People Rise,Clothing,3091.34,2,0.05,5873.54,2025-02-20,19:47:00,Online,Card,West,40,CUST-33634,TX-43051219
Present Important,Stationery,285.58,3,0.0,856.74,2025-08-18,17:32:00,Online,Mobile Wallet,East,30,CUST-99458,TX-53636876
End Democratic,Home & Kitchen,4687.63,2,0.05,8906.49,2025-02-11,13:39:00,Online,Card,North,47,CUST-87216,TX-27942055
Individual Let,Home & Kitchen,7234.76,3,0.0,21704.29,2025-03-06,12:07:00,In-Store,Card,North,53,CUST-22666,TX-66935109
Project Air,Clothing,5698.92,2,0.0,11397.84,2025-07-15,18:11:00,Online,Card,South,25,CUST-68812,TX-32340893
Who That,Stationery,866.03,1,0.25,649.52,2025-08-17,14:03:00,Online,Cash,Central,42,CUST-72075,TX-89266914
Social Career,Groceries,497.82,2,0.0,995.64,2024-10-17,15:25:00,In-Store,Card,West,34,CUST-15074,TX-12312705
Attorney Item,Clothing,4494.15,3,0.0,13482.46,2025-08-16,10:09:00,In-Store,Mobile Wallet,North,47,CUST-30274,TX-67922013
Experience Thus,Electronics,25000.0,3,0.0,75000.0,2025-02-23,10:19:00,In-Store,Card,West,41,CUST-47911,TX-77700426
Bed Level,Electronics,25000.0,1,0.0,25000.0,2025-08-18,11:00:00,Online,Cash,North,24,CUST-46190,TX-52540765
Book Occur,Groceries,424.51,5,0.05,2016.41,2025-08-18,08:48:00,In-Store,Cash,West,41,CUST-33929,TX-51149046
Process Seven,Clothing,2042.59,2,0.05,3880.93,2025-08-02,13:16:00,Online,Cash,Central,45,CUST-98892,TX-71694296
Property Simply,Beauty,1269.96,3,0.05,3619.39,2025-07-30,18:56:00,Online,Card,North,40,CUST-39382,TX-23669667
Throughout Hair,Home & Kitchen,8000.0,2,0.05,15200.0,2025-07-04,09:02:00,Online,Card,South,50,CUST-39367,TX-93960365
Military Green,Home & Kitchen,3408.61,1,0.15,2897.32,2025-06-22,13:00:00,Online,Mobile Wallet,South,48,CUST-38888,TX-60359401
Memory Something,Home & Kitchen,3065.4,4,0.0,12261.6,2025-01-04,09:57:00,Online,Card,South,51,CUST-70419,TX-91810376
Reality Full,Stationery,691.93,1,0.0,691.93,2025-08-17,13:23:00,In-Store,Card,South,30,CUST-44751,TX-78785731
Push Magazine,Toys,2095.02,1,0.0,2095.02,2025-08-06,12:49:00,In-Store,Card,South,43,CUST-56287,TX-47225629
Simple While,Sports,3311.63,4,0.0,13246.53,2025-05-06,12:57:00,In-Store,Mobile Wallet,Central,44,CUST-39129,TX-71135506
Year Painting,Clothing,3725.28,5,0.0,18626.42,2025-06-23,10:44:00,In-Store,Cash,North,30,CUST-95633,TX-58201050
Effect Appear,Home & Kitchen,4389.26,1,0.1,3950.33,2025-02-24,14:44:00,In-Store,Card,North,51,CUST-40005,TX-35513536
When Success,Electronics,13969.44,2,0.05,26541.94,2025-07-28,17:46:00,In-Store,Card,South,18,CUST-19115,TX-68801412
Policy Husband,Groceries,800.0,2,0.05,1520.0,2025-04-02,20:08:00,Online,Card,North,16,CUST-32606,TX-58554096
Military Main,Clothing,2620.95,1,0.1,2358.85,2025-03-26,20:47:00,In-Store,Card,North,26,CUST-93303,TX-98240317
Action Fear,Groceries,400.74,2,0.05,761.4,2025-08-03,08:38:00,In-Store,Card,West,26,CUST-40365,TX-89630107
Keep Middle,Sports,4503.78,3,0.0,13511.33,2025-05-06,08:28:00,In-Store,Mobile Wallet,Central,46,CUST-88389,TX-95129951
At Reason,Electronics,8461.06,1,0.1,7614.95,2025-08-16,16:39:00,In-Store,Cash,North,27,CUST-14321,TX-52485407
Memory A,Clothing,2129.74,4,0.1,7667.06,2024-09-01,09:01:00,In-Store,Card,North,33,CUST-20841,TX-23246071
Long Especially,Electronics,17874.85,2,0.1,37000.94,2024-12-09,08:08:00,Online,Cash,West,40,CUST-65499,TX-91895501
Pattern Church,Beauty,4000.0,1,0.1,3600.0,2025-05-13,08:34:00,In-Store,Cash,Central,40,CUST-82109,TX-72731714
Admit Black,Beauty,2255.02,2,0.0,4510.03,2025-01-20,10:20:00,In-Store,Card,West,43,CUST-85084,TX-93647341
Though Those,Home & Kitchen,6349.86,2,0.05,12064.73,2025-07-14,15:44:00,In-Store,Card,West,32,CUST-31071,TX-54954785
Ten Air,Clothing,5997.44,1,0.0,5997.44,2025-03-13,08:37:00,In-Store,Card,Central,41,CUST-10071,TX-89399943
Order Owner,Electronics,18011.5,5,0.0,90057.49,2025-03-15,14:21:00,In-Store,Card,North,39,CUST-39096,TX-33579138
Bed Mind,Electronics,7144.38,4,0.05,31220.93,2024-11-03,12:59:00,Online,Cash,Central,45,CUST-24016,TX-46220668
Break Shoulder,Sports,9000.0,2,0.0,18000.0,2024-08-19,18:30:00,Online,Cash,Central,22,CUST-88525,TX-71860403
Event System,Electronics,7910.02,1,0.0,7910.02,2025-08-16,12:34:00,In-Store,Mobile Wallet,North,45,CUST-51723,TX-25410288
Significant Join,Sports,9000.0,2,0.0,18000.0,2025-06-24,11:28:00,In-Store,Mobile Wallet,Central,29,CUST-80930,TX-95934996
Remain Gas,Stationery,833.98,2,0.0,1667.97,2025-05-09,18:04:00,In-Store,Cash,East,42,CUST-51930,TX-42838736
East Century,Home & Kitchen,8000.0,3,0.05,22800.0,2025-06-29,14:10:00,In-Store,Card,West,34,CUST-23300,TX-42262063
True Adult,Home & Kitchen,8000.0,5,0.05,38000.0,2025-03-09,20:45:00,In-Store,Card,North,42,CUST-13709,TX-85810435
Remember Campaign,Groceries,273.81,2,0.05,520.24,2025-04-16,15:43:00,Online,Cash,Central,32,CUST-66023,TX-87028733
Whose Yard,Sports,3420.79,4,0.1,12314.86,2024-11-05,18:52:00,Online,Card,North,27,CUST-91984,TX-97454635
Instead Current,Clothing,2543.38,1,0.0,2543.38,2024-11-01,20:18:00,In-Store,Mobile Wallet,North,47,CUST-82770,TX-42240455
Opportunity Little,Stationery,260.43,3,0.0,781.3,2025-05-08,12:56:00,In-Store,Card,South,29,CUST-44529,TX-22542905
Cold Store,Beauty,1695.77,3,0.0,5087.31,2025-07-25,08:35:00,In-Store,Card,East,37,CUST-78628,TX-52334852
During Letter,Sports,2695.43,1,0.2,2156.34,2024-12-26,12:37:00,In-Store,Card,Central,22,CUST-73715,TX-29314471
Last Teacher,Home & Kitchen,2340.3,2,0.0,4680.6,2025-06-22,14:41:00,Online,Card,West,28,CUST-73012,TX-39065365
Up Article,Electronics,3714.52,4,0.0,14858.07,2025-01-17,15:19:00,In-Store,Card,Central,53,CUST-76166,TX-89102768
Question Foreign,Toys,1609.17,4,0.0,6436.7,2025-06-16,15:12:00,Online,Cash,Central,47,CUST-94503,TX-21912222
Serious Pm,Toys,434.88,4,0.15,1700.38,2024-11-25,12:29:00,In-Store,Card,Central,31,CUST-79878,TX-78333748
Change Suddenly,Clothing,6000.0,4,0.0,24000.0,2025-07-08,18:30:00,In-Store,Card,South,56,CUST-69508,TX-24224406
Car Agreement,Home & Kitchen,4455.57,4,0.1,16040.04,2025-04-28,20:16:00,Online,Cash,West,39,CUST-97395,TX-22976618
Too Husband,Beauty,4000.0,2,0.0,8000.0,2024-10-03,09:28:00,In-Store,Cash,South,31,CUST-10215,TX-16300642
Write Contain,Clothing,4449.96,5,0.1,20024.82,2025-01-12,12:22:00,In-Store,Cash,East,29,CUST-52953,TX-72016967
Project Series,Clothing,6000.0,1,0.1,5400.0,2024-10-12,19:00:00,In-Store,Cash,Central,42,CUST-59299,TX-21025409
Happen Wife,Clothing,2164.06,2,0.05,4111.71,2025-07-13,20:50:00,Online,Mobile Wallet,West,41,CUST-94836,TX-23499494
Woman Good,Stationery,719.91,1,0.1,647.92,2025-07-13,09:37:00,In-Store,Card,Central,39,CUST-90159,TX-58972139
Situation Begin,Home & Kitchen,3349.66,2,0.15,5694.42,2025-03-30,10:57:00,Online,Mobile Wallet,East,25,CUST-71577,TX-30488170
Themselves Learn,Home & Kitchen,3006.92,2,0.0,6013.83,2025-07-28,15:11:00,In-Store,Mobile Wallet,North,16,CUST-47301,TX-63998046
Likely American,Electronics,23044.4,2,0.0,46088.79,2025-08-07,15:04:00,Online,Cash,South,32,CUST-42727,TX-78923369
Whether Me,Beauty,2204.53,3,0.15,5621.54,2025-08-14,13:24:00,In-Store,Cash,North,40,CUST-39410,TX-69630761
Economic Occur,Clothing,1391.06,1,0.0,1391.06,2025-08-12,16:20:00,In-Store,Card,North,21,CUST-78750,TX-51196075
Probably Center,Beauty,4000.0,2,0.05,7600.0,2024-11-13,15:22:00,In-Store,Card,Central,16,CUST-14589,TX-44954664
Door Himself,Home & Kitchen,4565.22,4,0.0,18260.86,2025-08-15,13:28:00,Online,Cash,Central,36,CUST-31367,TX-50941126
Bring Also,Stationery,234.99,1,0.0,234.99,2025-06-14,16:38:00,In-Store,Card,West,25,CUST-61260,TX-86495860
Bring Approach,Toys,1387.62,3,0.1,3746.57,2025-07-26,17:53:00,In-Store,Card,East,35,CUST-16669,TX-72473473
Organization Near,Home & Kitchen,4654.39,3,0.0,13963.16,2024-10-18,10:45:00,In-Store,Cash,North,23,CUST-75472,TX-74207170
Worker Type,Stationery,353.07,2,0.1,635.53,2025-06-15,09:25:00,In-Store,Mobile Wallet,South,25,CUST-63993,TX-29526942
Total Professional,Electronics,22196.43,1,0.0,22196.43,2025-07-29,10:42:00,In-Store,Card,Central,47,CUST-59330,TX-91416855
Instead Agree,Groceries,454.93,2,0.05,864.36,2024-10-27,09:00:00,In-Store,Card,North,50,CUST-53064,TX-77471663
Which Fact,Clothing,2365.19,3,0.0,7095.58,2025-08-10,17:27:00,In-Store,Card,Central,36,CUST-28221,TX-50492349
Human Reveal,Sports,9000.0,4,0.05,34200.0,2025-07-13,10:29:00,Online,Cash,East,37,CUST-55211,TX-24584806
Student Over,Clothing,1168.65,2,0.2,1869.84,2025-07-26,09:14:00,In-Store,Card,South,35,CUST-73544,TX-17562076
Serve West,Groceries,690.23,5,0.2,2760.91,2025-06-23,16:18:00,In-Store,Card,Central,39,CUST-36260,TX-79008079
Off Successful,Beauty,1423.39,2,0.0,2846.77,2025-08-18,19:11:00,In-Store,Card,South,37,CUST-84738,TX-22064471
Customer Consumer,Home & Kitchen,8000.0,2,0.0,16000.0,2025-06-16,19:33:00,In-Store,Card,North,29,CUST-93212,TX-94079788
Consider She,Home & Kitchen,5305.33,3,0.0,15915.99,2025-04-08,09:09:00,In-Store,Card,East,30,CUST-72057,TX-64230032
Church Natural,Sports,4423.18,2,0.05,8404.05,2025-04-16,13:56:00,Online,Card,East,33,CUST-18426,TX-25109367
Chair Well,Home & Kitchen,3785.87,1,0.0,3785.87,2024-10-24,14:45:00,In-Store,Card,South,25,CUST-17660,TX-44312531
Figure Style,Electronics,6443.52,2,0.05,12242.69,2025-08-16,11:27:00,In-Store,Cash,Central,42,CUST-34767,TX-66713573
Big Less,Home & Kitchen,2970.13,4,0.05,11286.5,2025-02-24,11:18:00,In-Store,Card,North,24,CUST-82186,TX-20419454
Challenge Eat,Sports,2421.93,2,0.05,4601.68,2025-04-16,10:22:00,In-Store,Mobile Wallet,West,21,CUST-83899,TX-65277701
Official Whatever,Groceries,521.68,1,0.2,417.34,2025-08-11,11:49:00,In-Store,Card,South,27,CUST-51821,TX-34743492
Increase Fish,Stationery,825.57,2,0.0,1651.13,2025-08-10,14:03:00,Online,Card,South,45,CUST-82635,TX-49612196
Painting Admit,Toys,2504.97,3,0.2,6011.93,2025-07-10,08:31:00,Online,Mobile Wallet,North,39,CUST-81986,TX-29835926
Politics Sport,Home & Kitchen,6509.79,2,0.0,13019.59,2025-08-02,17:06:00,In-Store,Cash,West,38,CUST-27588,TX-97542948
Firm Speech,Home & Kitchen,2454.78,3,0.1,6627.91,2025-07-22,16:31:00,In-Store,Cash,North,41,CUST-10893,TX-31164589
Marriage Project,Groceries,605.37,1,0.0,605.37,2025-08-18,16:15:00,In-Store,Card,North,33,CUST-88825,TX-89869151
Case Social,Groceries,216.14,1,0.1,194.53,2025-08-18,19:01:00,In-Store,Card,Central,35,CUST-82596,TX-48953043
Item Money,Clothing,1345.95,3,0.1,3634.07,2025-04-19,20:38:00,Online,Card,South,44,CUST-52864,TX-85932451
Early Word,Stationery,392.65,2,0.05,746.04,2025-03-05,11:19:00,In-Store,Card,West,26,CUST-93218,TX-15598899
Cold Nearly,Clothing,1998.19,1,0.0,1998.19,2025-07-11,20:22:00,Online,Cash,Central,30,CUST-79393,TX-35430130
May Sport,Electronics,6925.72,1,0.0,6925.72,2025-02-06,18:13:00,In-Store,Mobile Wallet,Central,26,CUST-25752,TX-70271969
Natural Thus,Groceries,312.95,2,0.15,532.01,2025-05-14,13:24:00,In-Store,Cash,North,20,CUST-53831,TX-51999323
Political Whole,Electronics,12664.6,2,0.0,25329.2,2025-06-20,13:25:00,In-Store,Mobile Wallet,East,43,CUST-33396,TX-85534898
Through Federal,Beauty,1381.64,2,0.1,2486.95,2025-02-23,08:02:00,Online,Mobile Wallet,East,37,CUST-13301,TX-33867199
Paper None,Clothing,2256.44,1,0.0,2256.44,2025-01-15,19:51:00,In-Store,Card,East,41,CUST-70230,TX-58399344
Suffer Within,Beauty,1408.45,1,0.0,1408.45,2025-07-21,16:19:00,In-Store,Card,Central,33,CUST-62273,TX-75828168
Successful Back,Beauty,1180.6,2,0.1,2125.08,2025-06-21,11:37:00,Online,Cash,Central,35,CUST-66825,TX-65022705
But Month,Stationery,834.54,2,0.05,1585.62,2025-05-08,12:23:00,In-Store,Card,South,35,CUST-28137,TX-32925753
Professional Individual,Groceries,382.05,1,0.0,382.05,2025-07-13,18:46:00,In-Store,Card,North,47,CUST-65157,TX-11782852
Either College,Groceries,800.0,2,0.05,1520.0,2024-09-29,20:14:00,In-Store,Card,East,48,CUST-70724,TX-55253736
Government Alone,Clothing,2038.28,2,0.0,4076.56,2025-08-07,16:06:00,In-Store,Card,West,28,CUST-54095,TX-39564696
On Whether,Electronics,8638.37,3,0.0,25915.11,2025-07-01,20:34:00,In-Store,Mobile Wallet,North,23,CUST-93330,TX-52597506
Sing Industry,Electronics,24173.0,1,0.1,25019.06,2024-11-15,11:36:00,In-Store,Cash,West,37,CUST-27448,TX-19442004
Drive Technology,Stationery,373.12,2,0.25,559.68,2024-09-29,08:57:00,Online,Card,East,17,CUST-39942,TX-82216319
Beyond Read,Stationery,435.28,1,0.05,496.22,2025-01-05,18:38:00,In-Store,Card,South,29,CUST-42290,TX-28090430
Boy Know,Groceries,482.55,1,0.05,458.42,2025-06-26,12:57:00,Online,Cash,East,46,CUST-21501,TX-42190686
Teacher Official,Stationery,1200.0,1,0.0,1200.0,2025-04-10,14:58:00,In-Store,Card,East,42,CUST-52159,TX-90977394
Include Ok,Clothing,4389.01,1,0.0,4389.01,2025-04-07,17:52:00,In-Store,Card,North,22,CUST-35953,TX-34721012
Color Mrs,Groceries,94.77,1,0.0,94.77,2025-06-25,13:11:00,Online,Card,North,54,CUST-11306,TX-70788676
Among Threat,Toys,2070.39,1,0.0,2070.39,2025-04-20,20:02:00,In-Store,Card,North,34,CUST-69193,TX-86199582
Positive Actually,Toys,1254.81,1,0.0,1254.81,2025-08-18,18:15:00,In-Store,Card,North,31,CUST-92757,TX-28258072
Resource House,Beauty,3342.6,1,0.0,3342.6,2025-07-03,18:05:00,In-Store,Cash,West,16,CUST-42548,TX-70976905
Hard Dark,Electronics,7994.06,1,0.0,7994.06,2025-05-23,15:31:00,Online,Cash,West,28,CUST-15206,TX-53118751
Weight Organization,Home & Kitchen,5660.33,3,0.1,15282.89,2025-07-29,16:19:00,In-Store,Card,South,44,CUST-16550,TX-99211934
Hold Democratic,Home & Kitchen,1933.75,2,0.05,3674.12,2025-07-28,13:44:00,Online,Cash,South,16,CUST-98269,TX-27889028
Magazine Whom,Stationery,710.89,2,0.0,1421.78,2024-12-25,20:48:00,In-Store,Card,West,41,CUST-29176,TX-60980498
Someone Matter,Stationery,256.84,1,0.05,244.0,2025-03-25,10:59:00,In-Store,Card,South,52,CUST-60177,TX-85160149
Treat Stage,Groceries,594.55,1,0.05,564.83,2025-02-20,20:42:00,In-Store,Card,South,21,CUST-65323,TX-26403388
Large Protect,Electronics,7867.71,3,0.05,22422.97,2025-07-26,14:49:00,In-Store,Card,North,46,CUST-66458,TX-15915543
Court Sit,Home & Kitchen,2767.17,2,0.0,5534.34,2025-08-17,19:40:00,In-Store,Card,South,16,CUST-47587,TX-17185485
World Production,Beauty,1314.05,2,0.0,2628.1,2025-08-17,10:17:00,In-Store,Card,East,30,CUST-98247,TX-78989795
Better Military,Clothing,1851.61,2,0.0,3703.23,2025-03-28,14:18:00,In-Store,Card,Central,25,CUST-86558,TX-58735403
Protect Six,Sports,6120.2,4,0.1,22032.72,2025-04-14,13:31:00,In-Store,Card,West,25,CUST-19164,TX-53196291
Trial Girl,Home & Kitchen,5778.63,5,0.0,28893.16,2025-07-15,17:03:00,Online,Card,North,16,CUST-44959,TX-10268901
Our Station,Home & Kitchen,8000.0,1,0.05,7600.0,2025-08-17,12:10:00,Online,Card,Central,34,CUST-99151,TX-25420823
Side Per,Groceries,579.74,2,0.05,1101.51,2025-03-19,14:28:00,Online,Card,South,41,CUST-46464,TX-36010072
No Quickly,Clothing,2198.53,3,0.1,5936.03,2025-04-20,17:54:00,In-Store,Card,South,16,CUST-85848,TX-72511410
Magazine Old,Toys,1329.36,3,0.05,3788.66,2025-06-29,16:43:00,In-Store,Card,East,37,CUST-66724,TX-67441226
Time Culture,Toys,1109.52,2,0.05,2424.3,2024-11-12,20:12:00,Online,Card,South,42,CUST-79789,TX-82360640
Under Next,Home & Kitchen,4120.32,1,0.1,3708.29,2025-07-15,19:02:00,In-Store,Mobile Wallet,South,32,CUST-15058,TX-72349620
Perhaps Plant,Sports,4704.22,1,0.05,4469.01,2025-07-19,13:58:00,In-Store,Cash,West,35,CUST-16174,TX-71387251
Reach Nor,Groceries,485.71,2,0.0,971.41,2024-09-16,13:06:00,In-Store,Card,West,30,CUST-66524,TX-52844005
Finally Least,Sports,3438.17,4,0.05,13065.06,2025-06-02,12:47:00,Online,Card,West,37,CUST-21711,TX-60158172
Debate Why,Beauty,1025.44,2,0.0,2050.89,2025-08-18,13:26:00,In-Store,Card,Central,41,CUST-29123,TX-27690330
Yeah Individual,Stationery,297.53,1,0.0,297.53,2025-08-18,08:12:00,In-Store,Mobile Wallet,East,20,CUST-97254,TX-18755381
Pressure History,Stationery,557.09,2,0.05,1058.48,2025-05-16,13:13:00,In-Store,Card,East,32,CUST-94785,TX-61484712
Green Near,Beauty,1661.6,1,0.05,1578.52,2025-08-05,09:57:00,Online,Cash,West,27,CUST-19447,TX-45545928
Everybody Through,Clothing,5457.64,1,0.05,5184.76,2025-07-25,10:40:00,In-Store,Card,East,33,CUST-17615,TX-96355457
Lot Project,Toys,992.39,2,0.05,1885.54,2025-01-24,18:45:00,In-Store,Cash,North,41,CUST-89103,TX-93138495
Cultural Town,Toys,1384.39,2,0.05,2630.34,2025-07-29,14:35:00,In-Store,Card,North,30,CUST-74214,TX-72388036
Public They,Sports,4410.65,2,0.05,8380.24,2024-12-19,08:14:00,Online,Card,South,34,CUST-64856,TX-67179002
Fight Case,Toys,1789.56,4,0.2,6585.6,2024-11-05,08:51:00,In-Store,Card,Central,16,CUST-29331,TX-29288641
Sure Not,Groceries,261.59,7,0.1,1648.01,2025-08-12,14:18:00,Online,Card,West,16,CUST-75791,TX-79900536
Language Evening,Groceries,645.9,5,0.05,3068.0,2025-02-16,17:16:00,Online,Card,South,38,CUST-41192,TX-68531991
What Consumer,Home & Kitchen,8000.0,1,0.0,8000.0,2024-11-19,13:36:00,In-Store,Card,East,32,CUST-47123,TX-13571081
Mean Bed,Sports,4750.44,5,0.05,22564.6,2025-05-18,08:56:00,In-Store,Card,West,36,CUST-77285,TX-59368232
Project Real,Beauty,1814.98,2,0.05,3448.47,2025-03-15,16:19:00,In-Store,Card,Central,24,CUST-38479,TX-11371249
Today Security,Toys,1876.22,3,0.05,5347.24,2025-02-02,11:44:00,In-Store,Card,East,27,CUST-94304,TX-40992612
Window Building,Clothing,4441.88,5,0.0,22209.4,2025-03-25,08:40:00,Online,Cash,West,39,CUST-27751,TX-68884871
Bag Act,Stationery,902.84,5,0.05,4288.48,2025-07-28,08:09:00,In-Store,Cash,East,53,CUST-35367,TX-86499906
Around Line,Groceries,112.84,1,0.15,95.91,2025-05-29,17:01:00,In-Store,Card,North,39,CUST-77881,TX-14217711
Occur Resource,Home & Kitchen,2031.31,2,0.05,3859.48,2025-07-02,12:37:00,Online,Card,South,36,CUST-55524,TX-54050412
Another Site,Clothing,1910.31,2,0.0,3820.63,2025-08-14,09:47:00,In-Store,Cash,Central,42,CUST-22618,TX-16678545
Interesting Want,Toys,3000.0,2,0.1,5400.0,2025-04-09,08:08:00,In-Store,Card,East,34,CUST-55191,TX-16106928
Study Create,Beauty,2951.22,2,0.05,5607.32,2025-08-16,17:24:00,Online,Card,East,20,CUST-84511,TX-85404135
Could Know,Stationery,766.58,1,0.0,766.58,2024-12-30,17:34:00,In-Store,Cash,North,47,CUST-11268,TX-96487166
Wife Stand,Sports,8972.75,1,0.05,8524.11,2025-08-17,17:07:00,Online,Card,East,19,CUST-83469,TX-33071989
Beyond Position,Beauty,1962.31,3,0.0,5886.93,2025-08-01,11:03:00,Online,Card,South,39,CUST-73647,TX-21472825
Pretty Near,Stationery,888.74,4,0.0,3554.94,2025-08-18,09:41:00,In-Store,Cash,North,22,CUST-65085,TX-11201038
Lay Key,Groceries,501.32,2,0.1,902.38,2025-02-04,09:35:00,In-Store,Card,North,32,CUST-66284,TX-43728710
Collection Continue,Home & Kitchen,8000.0,1,0.0,8000.0,2025-04-03,12:50:00,Online,Card,North,47,CUST-78803,TX-86230590
Blue Appear,Sports,4998.44,5,0.0,24992.21,2024-12-11,12:22:00,In-Store,Card,West,16,CUST-79067,TX-83970014
Always Card,Electronics,17708.54,2,0.1,31875.37,2025-05-07,17:57:00,In-Store,Cash,West,39,CUST-46369,TX-73244742
Note Forget,Electronics,8730.66,2,0.0,17461.32,2025-04-17,10:01:00,In-Store,Card,South,39,CUST-74040,TX-22714047
Bar Born,Sports,7025.78,2,0.0,14051.57,2025-08-12,11:09:00,Online,Cash,West,26,CUST-71373,TX-19085464
Idea Try,Home & Kitchen,6085.04,3,0.0,18255.11,2024-10-31,14:06:00,In-Store,Cash,North,39,CUST-82027,TX-85046910
Manage Organization,Home & Kitchen,3496.7,4,0.05,13287.46,2025-03-06,12:55:00,Online,Card,North,16,CUST-65671,TX-63634381
Pay Nature,Sports,2248.91,3,0.05,6409.4,2024-09-01,16:10:00,Online,Card,South,16,CUST-44439,TX-37905897
Unit Woman,Groceries,640.52,1,0.0,640.52,2025-07-06,09:45:00,In-Store,Mobile Wallet,Central,36,CUST-88339,TX-79045457
Shoulder The,Toys,889.66,1,0.0,889.66,2025-07-20,16:03:00,In-Store,Card,North,44,CUST-22592,TX-69648484
Great Case,Clothing,2108.99,3,0.0,6326.98,2025-08-08,12:25:00,In-Store,Mobile Wallet,North,21,CUST-23130,TX-69645883
Provide Your,Groceries,333.24,1,0.0,333.24,2025-04-08,09:36:00,Online,Card,Central,43,CUST-16019,TX-10340305
Think Position,Groceries,393.3,2,0.0,786.6,2025-02-11,16:52:00,In-Store,Cash,South,46,CUST-42780,TX-68519565
Civil Clearly,Beauty,911.45,3,0.15,2324.19,2025-06-29,11:10:00,Online,Mobile Wallet,South,30,CUST-67117,TX-89305225
